,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
541,2529,Cashaa,CAS,cashaa,4,2018-02-15T00:00:00.000Z,,586624991.0949999,1000000000.0,"{'id': 1839, 'name': 'Binance Chain', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'CAS-167'}",542,0.02013634007821,531662.61158311,-2.68517338,-1.07661429,22.06270992,11812480.319065832
542,2066,Everus,EVR,everus,9,2017-10-19T00:00:00.000Z,,465776853.0978613,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x3137619705b5fc22a3048989f983905e456b59ab'}",543,0.02175912010369,19.84542745,-12.99237982,-23.687788,-36.76392952,10134894.488075137
543,3336,IQeon,IQN,iqeon,12,2018-09-24T00:00:00.000Z,,5491860.1987553,5491860.1987553,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0db8d8b76bc361bacbb72e2c491e06085a97ab31'}",544,2.15271496205486,237140.09371712,-4.20250475,-5.37405577,2.16848129,11822409.61937411
544,4038,MovieBloc,MBL,moviebloc,17,2019-06-21T00:00:00.000Z,30000000000.0,7366157232.208562,30000000000.0,"{'id': 1839, 'name': 'Binance Chain', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'MBL-2D2'}",545,0.00159501825892,9266480.13563346,-5.45590371,-9.83312173,8.78421239,11749155.283448266
545,5266,MiL.k,MLK,milk-alliance,5,2020-08-05T00:00:00.000Z,,78160812.4950269,1300000000.0,,546,0.15191206063503,4117367.52512071,-3.89915546,-9.07330344,2.11325339,11873570.087027736
546,3839,Bitcoin Rhodium,XRC,bitcoin-rhodium,5,2019-04-04T00:00:00.000Z,2100000.0,1231617.5,1311617.5,,547,9.58634834141616,41915.9814412,2.06806403,411.91358685,452.23080883,11806714.378384117
547,8075,Rally,RLY,rally,5,2020-12-22T00:00:00.000Z,15000000000.0,60897283.0,15000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b'}",548,0.19380039238367,955017.91916532,-5.96690439,20.69464097,116.73889677,11801917.340499397
548,5821,Aleph.im,ALEPH,aleph-im,16,2020-07-08T00:00:00.000Z,500000000.0,70154247.9428232,500000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x27702a26126e0b3702af63ee09ac4d1a084ef628'}",549,0.16789756518298,542335.54458684,3.4922929,4.34606225,11.95233359,11778727.416843098
549,1745,Dinastycoin,DCY,dinastycoin,2,2017-06-24T00:00:00.000Z,,1992525292.956401,1992525292.956401,,550,0.00590588223711,10719.3731462,-9.64340646,-26.94475182,-36.06220582,11767619.73466361
550,707,Blocknet,BLOCK,blocknet,5,2014-11-01T00:00:00.000Z,,7415288.86531109,7415288.86531109,,551,1.58374166034522,13542.63539876,-6.65488699,-16.0501925,-17.70044483,11743901.899487207
